order_id,order_value,return_probability,expected_return_cost
O19174,58509.7,0.6828720941244312,3196.3713092473786
O02701,63581.25,0.5423417975642378,2758.621553310496
O06493,48610.43,0.6001409627261123,2333.8488206984234
O10148,79311.67,0.3632632620851254,2304.881277249518
O18142,70120.35,0.4078309563384379,2287.779951942879
O01720,90773.7,0.30026125732190156,2180.466023500888
O13134,96527.93,0.2614114229198043,2018.6802826242608
O07456,57589.7,0.42656595589767793,1965.26443442884
O06034,80842.13,0.3006358853163686,1944.323625872877
O01198,80640.9,0.29720292866359455,1917.3369320054449
O06755,47379.58,0.49378325554956737,1871.6194607176938
O15981,53302.03,0.435112852395242,1855.3918649405407
O17711,85096.98,0.26480715268046956,1802.7431180405492
O12505,57916.76,0.38608842174203173,1788.8792368649629
O02531,61951.45,0.3389409057465424,1679.8304460249306
O16807,83315.47,0.24847195229203003,1656.124598962245
O09060,55922.51,0.36719401385362965,1642.7528729335795
O02945,51359.01,0.39959222617690615,1641.8128912113589
O01972,67905.9,0.3001783573111436,1630.710521098783
O10749,62364.52,0.3242097690406678,1617.5349300425687
O11610,55035.37,0.36630138015046604,1612.7625590473244
O14078,82876.88,0.23905126416437084,1584.9458347199093
O13004,67555.08,0.2925046212183878,1580.8138469422306
O11657,53302.03,0.36794962925966784,1568.9969741830155
O15259,59981.1,0.32418650813056876,1555.6050690264365
O10152,41279.4,0.4673727589956083,1543.4293654146652
O06006,63562.07,0.3001255442179686,1526.1280680296493
O11839,48751.1,0.39036724830135777,1522.4666206931456
O02439,78930.44,0.23761184407455743,1500.3845921612972
O18171,59823.13,0.3133963132921329,1499.8678713276797
O03456,64290.25,0.2851100135424158,1466.3835238516237
O13563,57861.22,0.3139181993284816,1453.0951994679301
O06729,67525.64,0.2639459897852049,1425.8497508543537
O18034,93507.6,0.1872024626241067,1400.3882395255935
O15396,58501.33,0.2969633410819238,1389.8200331628946
O17792,75137.37,0.22828027887746002,1372.1903822175116
O01512,61390.34,0.2744973657395275,1348.1189289483154
O05248,64289.73,0.2614258055219614,1344.5595561631524
O09828,74545.42,0.22389397153518711,1335.2216114846856
O13710,79889.3,0.20378254643195487,1302.40359893331
O10738,61840.82,0.26217992203425233,1297.0737092907386
O10055,68834.94,0.2339692936166267,1288.4209830354305
O16708,40515.38,0.3969571640009794,1286.62962745776
O16602,90773.7,0.17540339091886295,1273.761182900127
O17572,87700.49,0.18118931044178266,1271.2313046805166
O01719,34759.18,0.4567785967116757,1270.1799570598835
O11013,71900.37,0.2205728536432516,1268.741583112451
O11334,72783.94,0.21709978552442005,1264.1102210897807
O14801,59981.1,0.2616331389857139,1255.4434778252803
O04734,66885.88,0.2335185009082283,1249.5272343622119
O14875,86875.14,0.17722181747383292,1231.6936163274945
O19023,48610.43,0.3152315841152626,1225.8834282739267
O00848,58440.18,0.26203553405107327,1225.0723021072681
O18814,47379.58,0.3209092068085292,1216.3634749377004
O00585,51125.89,0.29592156186224516,1210.3402576317874
O06644,95551.26,0.15826679162872492,1209.8073085025694
O15734,82048.74,0.1826574272054012,1198.9449403075914
O18785,48610.43,0.3073128845049348,1195.0889168260176
O15560,72332.89,0.20499733728303854,1186.2439878389541
O05746,53302.03,0.2776794882456165,1184.0704330282
O14492,72432.66,0.20104582711881216,1164.9827232092562
O03962,85955.75,0.16907647836679845,1162.647640430155
O04563,40797.78,0.35448036128199506,1156.9609435122682
O06228,43209.27,0.3331249074387708,1151.5267255397484
O15197,28673.18,0.501694011986323,1150.8130168484797
O14958,41457.14,0.3448883614772775,1143.846806890728
O06815,59568.26,0.2358075692321055,1123.731727518885
O04819,50063.13,0.27825287529087733,1114.4167894848783
O14151,59981.1,0.23118251292222916,1109.3265140671615
O13047,73473.98,0.187756768218736,1103.6189626374435
O02978,48184.46,0.2850130511428954,1098.6559969818238
O12992,68078.02,0.1983314483271767,1080.1609844677203
O03695,76660.91,0.1755437535468502,1076.587511337381
O17578,72753.91,0.1843988271947724,1073.258854226722
O13293,61951.45,0.21621139128466021,1071.5687357281652
O16636,82271.0,0.1626061029234057,1070.2213354889207
O03216,43292.83,0.30885932060710236,1069.7115248767025
O04922,61355.48,0.21782152716028028,1069.1635482601628
O03214,47775.63,0.27939266823066666,1067.852859368087
O13142,85384.48,0.15555959560842678,1062.5900144028644
O09743,84156.84,0.15554621184992354,1047.2222130608095
O12887,23781.67,0.5489315691663895,1044.36075443978
O04037,93507.6,0.13781090410010335,1030.909351698466
O17837,26285.77,0.4900308611486311,1030.4670807243883
O15652,43850.24,0.2922444550163767,1025.1991592909858
O12146,57589.7,0.2204450186416826,1015.6289992055125
O01528,68764.6,0.18370217375655823,1010.576519800018
O02408,43652.35,0.28383427652286913,991.2026544618452
O14131,38014.42,0.3188570554193788,969.6932819740433
O05902,52138.77,0.23085396661147145,962.915349499455
O13686,79311.67,0.151244160025377,959.6341527487914
O02820,56956.99,0.20838696922710392,949.5275617918772
O10136,21770.37,0.5429292564736091,945.5816637804293
O14639,51311.01,0.22977875739516185,943.2144094792579
O15916,43323.25,0.2720897631102863,943.025026373417
O07538,61355.48,0.19170549318285454,940.9746042296615
O16943,58993.14,0.19922708099155362,940.242486458085
O17226,78001.77,0.15021920631571364,937.3891184496674
O17143,45996.55,0.2537948446830551,933.8949810565101
O00113,24043.45,0.4850029446085744,932.8915238839223
O10278,20488.82,0.5671531213541887,929.6238572691302
O15293,91701.53,0.12664032606611814,929.0489327969532
O06941,17125.67,0.674983804340848,924.7639910788744
O12946,58501.33,0.19668075285601977,920.4868501982764
O11843,82876.88,0.13852368856130154,918.4328891241888
O04027,54020.51,0.21224052830066217,917.2273265176964
O14550,58898.67,0.19358346257650602,912.1446783800783
O01935,51667.62,0.21930861117911413,906.4923188104176
O10453,71067.57,0.15944066507766544,906.4848501002837
O04921,67301.02,0.16821864528591404,905.7029128608166
O01670,50057.39,0.22210188317898977,889.4272468820104
O05716,21619.3,0.5132513248461225,887.6907493796621
O19515,81961.05,0.13349065061480372,875.2827111657969
O03739,48704.44,0.22448210877522085,874.6620318332974
O06064,78066.1,0.14000152221560316,874.3498266748398
O02079,67442.42,0.16118732729337018,869.6690740797549
O11499,25996.75,0.41386408216239584,860.7296862364211
O08024,41279.4,0.2599005318497724,858.2830411551596
O04877,72827.86,0.1469847640053845,856.3668652093745
O12615,49376.69,0.2156443191607128,851.8242157967662
O05370,61951.45,0.17149896377942353,849.9687583706213
O19451,57861.22,0.1834060221054253,848.9676955493502
O05926,37808.11,0.2781540485382015,841.318309126213
O10844,63911.44,0.16439075133623993,840.5159712464815
O01040,69930.35,0.14979496136584802,838.0171261240185
O14222,38507.37,0.2715252482580937,836.4578559213016
O07380,62571.74,0.16690333185242293,835.474550864282
O03674,56919.3,0.18345766164122518,835.382534420431
O10140,17963.29,0.5789644220464808,832.0084650322663
O00019,85996.13,0.12061079057267472,829.7648980392408
O19082,65455.32,0.15573253773786397,815.481847363517
O18014,17944.88,0.5679671515368636,815.3681902616668
O18997,67555.08,0.1499703960801041,810.5009683858495
O03931,57861.22,0.1750859062132103,810.4547310641542
O14826,44299.88,0.22820999906461417,808.7740458690016
O11474,62364.52,0.16183311772737183,807.4115765736827
O05043,79889.3,0.12540512067135162,801.482184547985
O15499,17125.67,0.5836928123797164,799.6904388949549
O00582,19608.24,0.5093018860573487,798.9210891412118
O14306,82658.22,0.11958639066218811,790.7838550688872
O10819,55633.59,0.17724920021446142,788.8807466047406
O10302,38397.91,0.255368964370573,784.4507608555576
O07125,34658.6,0.28237847053293785,782.9473967050304
O06977,56956.99,0.17136800507111796,780.8484600924493
O17942,82876.88,0.11763537623318268,779.9402367865868
O16181,73370.02,0.13270099198194946,778.9019548588377
O09262,15410.15,0.6295294940656583,776.0915146380722
O13505,76660.91,0.12604138847913735,772.9958030779349
O17988,61355.48,0.1567675757638197,769.483988754042
O01465,35538.17,0.2680794193407467,762.1641582426195
O10266,73764.95,0.1284717051933107,758.1367127999442
O14353,48704.44,0.1945153850921049,757.9010321836254
O14975,22388.66,0.4227757906840079,757.2306747084336
O08241,25996.75,0.3633776248544448,755.730981514783
O15509,12936.45,0.7289033787597344,754.3537691325093
O19391,12639.13,0.7452671874325439,753.5623093355431
O02875,52655.36,0.176897262908127,745.1671249153659
O03269,35090.5,0.26519317805904075,744.4608971744616
O03007,47775.63,0.19455735393744306,743.6080124395457
O19025,37273.91,0.2484619983698044,740.8920132524989
O09721,13846.21,0.6628476006200762,734.2341660945364
O08969,34151.58,0.2677834024611757,731.6181033460032
O02918,15672.76,0.5808487372344388,728.2802283982737
O02773,40515.38,0.22366883522944134,724.9622282782562
O16889,69701.52,0.1294432319742858,721.7912017856257
O11327,21770.37,0.41416616015547947,721.3240438451237
O08426,57330.76,0.1566283442808419,718.3697612129856
O12473,30193.0,0.29600247507725097,714.9762184005951
O06841,20219.7,0.43977663943926915,711.3721373176153
O16121,17223.11,0.5139043482285944,708.082489521551
O16978,24552.49,0.36033997391316885,707.7794884882672
O14509,67525.64,0.1309910847043201,707.6205463162742
O15768,77667.93,0.11375279577837727,706.795534385544
O09507,48173.16,0.1826773485414081,704.0116111728815
O07288,20071.23,0.43772135229030934,702.8484750183861
O15403,18239.03,0.4795969505589337,699.7906535322327
O18978,23781.67,0.3651390317773587,694.6892766278926
O13709,56177.15,0.15456836914026897,694.656836675861
O17067,48610.43,0.17860178942960675,694.5527826354112
O17204,25210.59,0.3349608048464231,675.5647613642549
O12169,66033.02,0.12780221470900854,675.1332959939405
O04982,93507.6,0.09024316112757436,675.0737130762218
O13697,10977.26,0.7627412267586071,669.8247007078551
O02973,28898.06,0.2893601988410336,668.9558710176096
O04619,81894.37,0.10193815375775116,667.852870476333
O08569,36242.23,0.23009079637205038,667.1202850399213
O04589,73062.39,0.11377271136614756,665.0004967352725
O09085,26849.33,0.3079179397856024,661.3912302579015
O01386,36824.76,0.22355294867155553,658.5826945697881
O17580,71528.9,0.11423557330837165,653.6915919693748
O16830,23108.22,0.35202301740610786,650.7700265027336
O02080,73062.39,0.11125544702025773,650.2871087854727
O14066,18082.2,0.4493304200219794,649.9906016737149
O01304,35461.58,0.22882722357584262,649.1659916010104
O09866,76240.42,0.10626573267442549,648.1395272564738
O08255,79311.67,0.10192668274323495,646.7180340740916
O12517,21224.1,0.38077002088664935,646.5200800240267
O18231,60773.08,0.1328404074680216,645.8496568229339
